name,version,directory,repository,summary,from package.json,from license,from readme
@xblox/core,0.0.17,/PMaster/projects/x4mm/node_modules/@xblox/core,(none),BSD,BSD,BSD,
ansi-to-html,0.6.3,/PMaster/projects/x4mm/node_modules/ansi-to-html,(none),MIT,MIT,,
ansi_up,1.3.0,/PMaster/projects/x4mm/node_modules/ansi_up,(none),MIT,,,MIT
any-promise,1.3.0,/PMaster/projects/x4mm/node_modules/any-promise,(none),MIT,MIT,,
arr-diff,1.1.0,/PMaster/projects/x4mm/node_modules/glob-fs/node_modules/arr-diff,(none),MIT,MIT,MIT,MIT
async-busboy,0.3.4,/PMaster/projects/x4mm/node_modules/async-busboy,(none),MIT,MIT,MIT,
base-64,0.1.0,/PMaster/projects/x4mm/node_modules/base-64,(none),Unknown,,,
bl,1.2.1,/PMaster/projects/x4mm/node_modules/mqtt/node_modules/bl,(none),MIT,MIT,MIT,MIT
bytes,3.0.0,/PMaster/projects/x4mm/node_modules/koa-bodyparser/node_modules/bytes,(none),MIT,MIT,MIT,
cheerio,0.22.0,/PMaster/projects/x4mm/node_modules/cheerio,(none),MIT,MIT,,MIT
chokidar,1.7.0,/PMaster/projects/x4mm/node_modules/chokidar,(none),MIT,MIT,,MIT
co-body,4.2.0,/PMaster/projects/x4mm/node_modules/co-body,(none),MIT,MIT,,MIT
co-body,5.1.1,/PMaster/projects/x4mm/node_modules/koa-bodyparser/node_modules/co-body,(none),MIT,MIT,,MIT
co-views,2.1.0,/PMaster/projects/x4mm/node_modules/co-views,(none),MIT,MIT,,MIT
colors,1.1.2,/PMaster/projects/x4mm/node_modules/colors,(none),MIT,MIT,,
commander,2.11.0,/PMaster/projects/x4mm/node_modules/commander,(none),MIT,MIT,MIT,MIT
control-freak,1.0.70,/PMaster/projects/x4mm/dist/nodejs,https://github.com/tx4x/control-freak,BSD;MIT,,BSD;MIT,BSD;MIT
deferred,0.7.8,/PMaster/projects/x4mm/node_modules/deferred,(none),MIT,MIT,MIT,
denodeify,1.2.1,/PMaster/projects/x4mm/node_modules/denodeify,(none),MIT,MIT,,MIT
dot-prop,4.2.0,/PMaster/projects/x4mm/node_modules/dot-prop,(none),MIT,MIT,MIT,MIT
ejs,2.5.7,/PMaster/projects/x4mm/node_modules/ejs,(none),Apache;Apache-2.0,Apache-2.0,Apache,
evilscan,1.0.4,/PMaster/projects/x4mm/node_modules/evilscan,(none),GPL-3.0,GPL-3.0,,
extend,3.0.1,/PMaster/projects/x4mm/node_modules/extend,(none),MIT,MIT,MIT,
faye-websocket,0.11.1,/PMaster/projects/x4mm/node_modules/sockjs-client/node_modules/faye-websocket,(none),MIT,MIT,,MIT
flop,1.6.0,/PMaster/projects/x4mm/node_modules/flop,(none),MIT,MIT,MIT,MIT
fs-jetpack,0.10.5,/PMaster/projects/x4mm/node_modules/fs-jetpack,(none),MIT,MIT,MIT,
fstream,0.1.31,/PMaster/projects/x4mm/node_modules/unzip/node_modules/fstream,(none),BSD,BSD,BSD,
github,9.3.1,/PMaster/projects/x4mm/node_modules/github,(none),MIT,MIT,MIT,MIT
glob,7.0.6,/PMaster/projects/x4mm/node_modules/glob,(none),ISC,ISC,ISC,
glob-base,0.3.0,/PMaster/projects/x4mm/node_modules/glob-base,(none),MIT,MIT,MIT,MIT
glob-fs,0.1.7,/PMaster/projects/x4mm/node_modules/glob-fs,(none),MIT,MIT,MIT,MIT
glob-parent,1.3.0,/PMaster/projects/x4mm/node_modules/glob-fs/node_modules/glob-parent,(none),ISC,ISC,ISC,
ipaddr.js,1.5.2,/PMaster/projects/x4mm/node_modules/ipaddr.js,(none),MIT,MIT,,
is-glob,1.1.3,/PMaster/projects/x4mm/node_modules/glob-fs/node_modules/micromatch/node_modules/is-glob,(none),MIT,MIT,MIT,MIT
isobject,1.0.2,/PMaster/projects/x4mm/node_modules/glob-fs/node_modules/isobject,(none),MIT,MIT,MIT,
jsonpath,0.2.12,/PMaster/projects/x4mm/node_modules/jsonpath,(none),MIT,MIT,,
kind-of,1.1.0,/PMaster/projects/x4mm/node_modules/glob-fs/node_modules/micromatch/node_modules/kind-of,(none),MIT,MIT,,MIT
